Name,Attendance,GeoPoint,Location
Anime Expo 2013,"61,000","34.041209,-118.269131","Los Angeles, CA"
Otakon 2013,"34,892","39.285411,-76.617397","Baltimore, MD"
Anime Central 2013,"28,692","41.980673,-87.859903","Rosemont, IL"
Anime North 2013,"23,952","43.689598,-79.57803","Toronto, ON"
FanimeCon 2013,"23,430","37.329065,-121.888858","San Jose, CA"
A-Kon 2013,"22,366","32.799806,-96.827676","Dallas, TX"
Anime Boston 2013,"21,200","42.347505,-71.084638","Boston, MA"
Sakura-Con 2013,"21,000","47.611783,-122.331165","Seattle, WA"
Anime Weekend Atlanta 2013,"18,363","33.884944,-84.464854","Atlanta, GA"
Anime Matsuri 2013,"14,989","29.756787,-95.369267","Houston, TX"
Youmacon 2013,"14,496","42.329152,-83.039871","Detroit, MI"
Otakuthon 2013,"13,357","45.504847,-73.559958","Montréal, QC"
ConnectiCon 2013,"12,665","41.763438,-72.668338","Hartford, CT"
MomoCon 2013,"12,200","33.761497,-84.383422","Atlanta, GA"
San Japan 2013,"11,077","29.421484,-98.486348","San Antonio, TX"
Katsucon 2013,"10,686","38.783629,-77.016392","National Harbor, MD"
AnimeNEXT 2013,"10,283","40.538126,-74.520521","Somerset, NJ"
Metrocon 2013,"9,951","27.941943,-82.456518","Tampa, FL"
Middle Tennessee Anime Convention 2013,"9,796","36.160863,-86.779992","Nashville, TN"
Sac-Anime 2013,"9,000","38.578676,-121.488941","Sacramento, CA"
Animethon 2013,"8,058","53.547142,-113.50482","Edmonton, AB"
Anime Revolution 2013,"7,326","49.28911,-123.116055","Vancouver, BC"
Japan Expo USA 2013,"5,534","37.4044732,-121.9754528","Santa Clara, CA"
Animate! Miami 2013,"5,025","25.778856,-80.30971","Miami, FL"
Animé Los Angeles 2013,"5,001","33.94607,-118.384321","Los Angeles, CA"
Anime Milwaukee 2013,"4,816","43.041053,-87.915559","Milwaukee, WI"
Anime 2013,"4,411","52.092935,4.283295","The Hague, Netherlands"
SwampCon 2013,"4,405","29.64585,-82.347746","Gainesville, FL"
Shuto Con 2013,"4,275","42.734432,-84.547949","Lansing, MI"
MatsuriCon 2013,"4,100","39.97014,-83.000615","Columbus, OH"
Saboten-Con 2013,"4,002","33.531656,-112.263633","Glendale, AZ"
PortConMaine 2013,"2,502","43.635096,-70.3384","South Portland, ME"
Animefest 2013,"2,500","49.189152,16.584844","Brno, Czech Republic"
Animation On Display 2013,"2,255","37.785359,-122.428881","San Francisco, CA"
Anime Blast Chattanooga 2013,"1,850","35.042866,-85.3127","Chattanooga, TN"
A Taste of Animethon 2013,"1,505","53.568619,-113.52407","Edmonton, AB"
Con-G 2013,"1,400","43.525701,-80.224974","Guelph, ON"
Kraken Con 2013,988,"37.647303,-122.404422","South San Francisco, CA"
Sabaku Con 2013,967,"35.10785,-106.624648","Albuquerque, NM"
Shinboku Con 2013,743,"41.394164,-82.115121","Elyria, OH"
SaikouCon 2013,730,"40.577093,-75.625583","Breinigsville, PA"
Bakuretsu Con 2013,590,"44.5063,-73.179258","Colchester, VT"
Ahn!Con 2013,515,"39.137737,-94.50261","Kansas City, MO"
NyanCon 2013,500,"41.638411,-81.363402","Kirtland, OH"
JABEcon! 2013,250,"36.203079,-86.300147","Lebanon, TN"
Kita-Kon 2013,205,"48.420646,-89.260827","Thunder Bay, ON"
